"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Angra dos Reis","Angra dos Reis","-23.0011","-44.3196","Brazil","BR","BRA","Rio de Janeiro","","167434","3300100"
"Aperibé","Aperibe","-21.6252","-42.1017","Brazil","BR","BRA","Rio de Janeiro","","11034","3300159"
"Araruama","Araruama","-22.8697","-42.3326","Brazil","BR","BRA","Rio de Janeiro","","129671","3300209"
"Areal","Areal","-22.2283","-43.1118","Brazil","BR","BRA","Rio de Janeiro","","11828","3300225"
"Armação dos Búzios","Armacao dos Buzios","-22.7528","-41.8846","Brazil","BR","BRA","Rio de Janeiro","","40006","3300233"
"Arraial do Cabo","Arraial do Cabo","-22.9774","-42.0267","Brazil","BR","BRA","Rio de Janeiro","","30986","3300258"
"Barra do Piraí","Barra do Pirai","-22.4715","-43.8269","Brazil","BR","BRA","Rio de Janeiro","","92883","3300308"
"Barra Mansa","Barra Mansa","-22.5481","-44.1752","Brazil","BR","BRA","Rio de Janeiro","","169894","3300407"
"Belford Roxo","Belford Roxo","-22.764","-43.3992","Brazil","BR","BRA","Rio de Janeiro","","483087","3300456"
"Bom Jardim","Bom Jardim","-22.1545","-42.4251","Brazil","BR","BRA","Rio de Janeiro","","28102","3300506"
"Bom Jesus do Itabapoana","Bom Jesus do Itabapoana","-21.1449","-41.6822","Brazil","BR","BRA","Rio de Janeiro","","35173","3300605"
"Cabo Frio","Cabo Frio","-22.8894","-42.0286","Brazil","BR","BRA","Rio de Janeiro","","222161","3300704"
"Cachoeiras de Macacu","Cachoeiras de Macacu","-22.4658","-42.6523","Brazil","BR","BRA","Rio de Janeiro","","56943","3300803"
"Cambuci","Cambuci","-21.5691","-41.9187","Brazil","BR","BRA","Rio de Janeiro","","14616","3300902"
"Campos dos Goytacazes","Campos dos Goytacazes","-21.7622","-41.3181","Brazil","BR","BRA","Rio de Janeiro","","483540","3301009"
"Cantagalo","Cantagalo","-21.9797","-42.3664","Brazil","BR","BRA","Rio de Janeiro","","19390","3301108"
"Carapebus","Carapebus","-22.1821","-41.663","Brazil","BR","BRA","Rio de Janeiro","","13847","3300936"
"Cardoso Moreira","Cardoso Moreira","-21.4846","-41.6165","Brazil","BR","BRA","Rio de Janeiro","","12958","3301157"
"Carmo","Carmo","-21.931","-42.6046","Brazil","BR","BRA","Rio de Janeiro","","17198","3301207"
"Casimiro de Abreu","Casimiro de Abreu","-22.4812","-42.2066","Brazil","BR","BRA","Rio de Janeiro","","46110","3301306"
"Comendador Levy Gasparian","Comendador Levy Gasparian","-22.0404","-43.214","Brazil","BR","BRA","Rio de Janeiro","","8741","3300951"
"Conceição de Macabu","Conceicao de Macabu","-22.0834","-41.8719","Brazil","BR","BRA","Rio de Janeiro","","21104","3301405"
"Cordeiro","Cordeiro","-22.0267","-42.3648","Brazil","BR","BRA","Rio de Janeiro","","20783","3301504"
"Duas Barras","Duas Barras","-22.0536","-42.5232","Brazil","BR","BRA","Rio de Janeiro","","10980","3301603"
"Duque de Caxias","Duque de Caxias","-22.7858","-43.3049","Brazil","BR","BRA","Rio de Janeiro","","808161","3301702"
"Engenheiro Paulo de Frontin","Engenheiro Paulo de Frontin","-22.5498","-43.6827","Brazil","BR","BRA","Rio de Janeiro","","12242","3301801"
"Guapimirim","Guapimirim","-22.5347","-42.9895","Brazil","BR","BRA","Rio de Janeiro","","51696","3301850"
"Iguaba Grande","Iguaba Grande","-22.8495","-42.2299","Brazil","BR","BRA","Rio de Janeiro","","27920","3301876"
"Itaboraí","Itaborai","-22.7565","-42.8639","Brazil","BR","BRA","Rio de Janeiro","","224267","3301900"
"Itaguaí","Itaguai","-22.8636","-43.7798","Brazil","BR","BRA","Rio de Janeiro","","116841","3302007"
"Italva","Italva","-21.4296","-41.7014","Brazil","BR","BRA","Rio de Janeiro","","14073","3302056"
"Itaocara","Itaocara","-21.6748","-42.0758","Brazil","BR","BRA","Rio de Janeiro","","22919","3302106"
"Itaperuna","Itaperuna","-21.1997","-41.8799","Brazil","BR","BRA","Rio de Janeiro","","101041","3302205"
"Itatiaia","Itatiaia","-22.4897","-44.5675","Brazil","BR","BRA","Rio de Janeiro","","30908","3302254"
"Japeri","Japeri","-22.6435","-43.6602","Brazil","BR","BRA","Rio de Janeiro","","96289","3302270"
"Laje do Muriaé","Laje do Muriae","-21.2091","-42.1271","Brazil","BR","BRA","Rio de Janeiro","","7336","3302304"
"Macaé","Macae","-22.3768","-41.7848","Brazil","BR","BRA","Rio de Janeiro","","246391","3302403"
"Macuco","Macuco","-21.9813","-42.2533","Brazil","BR","BRA","Rio de Janeiro","","5415","3302452"
"Magé","Mage","-22.6632","-43.0315","Brazil","BR","BRA","Rio de Janeiro","","228127","3302502"
"Mangaratiba","Mangaratiba","-22.9594","-44.0409","Brazil","BR","BRA","Rio de Janeiro","","41220","3302601"
"Maricá","Marica","-22.9354","-42.8246","Brazil","BR","BRA","Rio de Janeiro","","197277","3302700"
"Mendes","Mendes","-22.5245","-43.7312","Brazil","BR","BRA","Rio de Janeiro","","17502","3302809"
"Mesquita","Mesquita","-22.8028","-43.4601","Brazil","BR","BRA","Rio de Janeiro","","167127","3302858"
"Miguel Pereira","Miguel Pereira","-22.4572","-43.4803","Brazil","BR","BRA","Rio de Janeiro","","26578","3302908"
"Miracema","Miracema","-21.4148","-42.1938","Brazil","BR","BRA","Rio de Janeiro","","26881","3303005"
"Natividade","Natividade","-21.039","-41.9697","Brazil","BR","BRA","Rio de Janeiro","","15074","3303104"
"Nilópolis","Nilopolis","-22.8057","-43.4233","Brazil","BR","BRA","Rio de Janeiro","","146774","3303203"
"Niterói","Niteroi","-22.8832","-43.1034","Brazil","BR","BRA","Rio de Janeiro","","481749","3303302"
"Nova Friburgo","Nova Friburgo","-22.2932","-42.5377","Brazil","BR","BRA","Rio de Janeiro","","189939","3303401"
"Nova Iguaçu","Nova Iguacu","-22.7556","-43.4603","Brazil","BR","BRA","Rio de Janeiro","","785867","3303500"
"Paracambi","Paracambi","-22.6078","-43.7108","Brazil","BR","BRA","Rio de Janeiro","","41375","3303609"
"Paraíba do Sul","Paraiba do Sul","-22.1585","-43.304","Brazil","BR","BRA","Rio de Janeiro","","42063","3303708"
"Paraty","Paraty","-23.2221","-44.7175","Brazil","BR","BRA","Rio de Janeiro","","44872","3303807"
"Paty do Alferes","Paty do Alferes","-22.4309","-43.4285","Brazil","BR","BRA","Rio de Janeiro","","29619","3303856"
"Petrópolis","Petropolis","-22.52","-43.1926","Brazil","BR","BRA","Rio de Janeiro","","278881","3303906"
"Pinheiral","Pinheiral","-22.5172","-44.0022","Brazil","BR","BRA","Rio de Janeiro","","24298","3303955"
